PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
光點華山 1 廳	2015-11-18	20:40	126	作者相對論	一千零一夜III：迷醉之人	Arabian Nights Vol. III - The Enchanted One	輔		NA
光點華山 2 廳	2015-11-18	12:50	120	不設防地帶	禁忌密室	The Forbidden Room	輔		NA
光點華山 2 廳	2015-11-18	15:20	96	華語透視界	告別	A Simple Goodbye	普	★	NA
光點華山 2 廳	2015-11-18	18:10	90	經典重現	就是溜溜的她	Cute Girl	普		NA
光點華山 2 廳	2015-11-18	20:20	141	金馬獎入圍影片	一步之遙	Gone With the Bullets	輔		NA
國賓長春 A 廳	2015-11-19	11:00	89	金馬獎入圍影片	西遊記之大聖歸來	Monkey King - Hero Is Back	普		NA
國賓長春 A 廳	2015-11-19	13:20	143	金馬獎入圍影片	智取威虎山3D	The Taking of Tiger Mountain 3D	輔		NA
國賓長春 A 廳	2015-11-19	19:10	107	影壇新世代	索爾之子	Son of Saul	輔		NA
國賓長春 A 廳	2015-11-19	21:30	73	大師饗宴	巴黎式出軌	In the Shadow of Women	輔		NA
樂聲影城 1 廳	2015-11-19	18:30	90	台灣製造	我們這樣拍電影	Face Taiwan: Power of Taiwan Cinema	護	★   ▲	NA
樂聲影城 1 廳	2015-11-19	21:00	97	開閉幕片	紅衣小女孩	The Tag-Along	輔	★	NA
新光影城 1 廳	2015-11-19	11:40	162	經典重現	亂	Ran	護		NA
新光影城 1 廳	2015-11-19	15:00	93	性別越界	遠方禁戀	From Afar	輔		NA
新光影城 1 廳	2015-11-19	17:10	85	不設防地帶	地下天堂	In the Basement	限		NA
新光影城 1 廳	2015-11-19	19:10	104	經典重現	風櫃來的人	The Boys from Fengkuei	護	★	NA
新光影城 2 廳	2015-11-19	12:00	110	桀驁不馴的風格家：莫里斯皮亞拉	路路	Loulou	輔		NA
新光影城 2 廳	2015-11-19	14:30	110	影壇新世代	共犯效應	Flocking	輔		NA
新光影城 2 廳	2015-11-19	17:00	102	傳奇人生	馬龍白蘭度私密告白	Listen to Me Marlon	護		NA
新光影城 2 廳	2015-11-19	22:00	96	作者相對論	該死的殺手	Schneider VS. Bax	輔		NA
光點華山 1 廳	2015-11-19	15:00	61	金馬獎入圍影片	無無眠孝悌兒童	No No Sleep	限		NA
光點華山 1 廳	2015-11-19	16:30	117	金馬獎入圍影片	捉妖記	Monster Hunt	護		NA
光點華山 1 廳	2015-11-19	19:20	106	金馬獎入圍影片	少年巴比倫	Young Love Lost	普		NA
光點華山 1 廳	2015-11-19	21:40	71	金馬獎入圍影片	保全員之死吉日安葬日光之下	The Death of A Security Guard	護		NA
光點華山 2 廳	2015-11-19	16:20	97	不設防地帶	寧靜狗日子	Dog Lady	輔		NA
光點華山 2 廳	2015-11-19	18:40	90	經典重現	就是溜溜的她	Cute Girl	普		NA
光點華山 2 廳	2015-11-19	20:50	120	不設防地帶	禁忌密室	The Forbidden Room	輔		NA
新光影城 1 廳	2015-11-20	15:20	86	桀驁不馴的風格家：莫里斯皮亞拉	畢業優先	Graduate First	輔	▲	NA
新光影城 1 廳	2015-11-20	17:30	96	作者相對論	該死的殺手	Schneider VS. Bax	輔		NA
新光影城 1 廳	2015-11-20	19:50	87	百年光影：奧森威爾斯	上海小姐	The Lady from Shanghai	護		NA
新光影城 1 廳	2015-11-20	22:00	105	奇幻世界	非一般床邊故事	Marguerite & Julien	護		NA
新光影城 2 廳	2015-11-20	11:20	103	影迷嘉年華	寶琳娜的選擇	Paulina	輔		NA
新光影城 2 廳	2015-11-20	13:40	122	空間魔法師：彼得格林納威	魔法聖嬰	The Baby of Mâcon	限		NA
新光影城 2 廳	2015-11-20	16:20	118	空間魔法師：彼得格林納威	淹死老公	Drowning by Numbers	限		NA
新光影城 2 廳	2015-11-20	19:00	102	桀驁不馴的風格家：莫里斯皮亞拉	關於我們的愛情	To Our Loves	限		NA
新光影城 2 廳	2015-11-20	21:20	139	作者相對論	新宿天鵝	Shinjuku Swan	輔		NA
新光影城 1 廳	2015-11-21	10:20	85	影壇新世代	命懸六百哩	600 Miles	輔		NA
新光影城 1 廳	2015-11-21	12:20	133	奇幻世界	異色童話集	Tale of Tales	輔		NA
新光影城 1 廳	2015-11-21	15:00	139	金馬獎入圍影片	烈日灼心	The Dead End	輔		NA
新光影城 1 廳	2015-11-21	18:00	83	桀驁不馴的風格家：莫里斯皮亞拉	赤裸童年	Naked Childhood	護		NA
新光影城 1 廳	2015-11-21	20:00	104	百年光影：奧森威爾斯	黑獄亡魂	The Third Man	護		NA
新光影城 1 廳	2015-11-21	22:20	73	大師饗宴	巴黎式出軌	In the Shadow of Women	輔		NA
新光影城 2 廳	2015-11-21	10:50	117	奇幻世界	愛與和平大作戰	Love & Peace	護		NA
新光影城 2 廳	2015-11-21	13:20	106	影壇新世代	再婚風暴	Nahid	普		NA
新光影城 2 廳	2015-11-21	15:50	124	空間魔法師：彼得格林納威	廚師、大盜、他的太太和她的情人	The Cook, the Thief, His Wife & Her Lover	限		NA
新光影城 2 廳	2015-11-21	18:30	114	桀驁不馴的風格家：莫里斯皮亞拉	末路刑警	Police	輔		NA
新光影城 2 廳	2015-11-21	21:00	124	空間魔法師：彼得格林納威	魔法師的寶典	Prospero	限		NA
新光影城 1 廳	2015-11-22	10:30	113	影壇新世代	邪惡的養成	The Childhood of a Leader	護		NA
新光影城 1 廳	2015-11-22	13:00	105	奇幻世界	非一般床邊故事	Marguerite & Julien	護		NA
新光影城 1 廳	2015-11-22	15:20	85	不設防地帶	地下天堂	In the Basement	限		NA
新光影城 1 廳	2015-11-22	17:30	82	桀驁不馴的風格家：莫里斯皮亞拉	安寧的盡頭	The Mouth Agape	輔	▲	NA
新光影城 1 廳	2015-11-22	19:30	96	作者相對論	該死的殺手	Schneider VS. Bax	輔		NA
新光影城 1 廳	2015-11-22	21:50	110	桀驁不馴的風格家：莫里斯皮亞拉	路路	Loulou	輔		NA
新光影城 2 廳	2015-11-22	10:50	105	影迷嘉年華	我們的故事未完待續	Me and Earl and the Dying Girl	護		NA
新光影城 2 廳	2015-11-22	15:30	111	金馬獎入圍影片	揚子江風雲	Storm Over the Yangtse River	護	★	NA
新光影城 2 廳	2015-11-22	18:20	106	桀驁不馴的風格家：莫里斯皮亞拉	難為了爸爸	Le Garçu	輔	▲	NA
新光影城 2 廳	2015-11-22	21:20	102	傳奇人生	馬龍白蘭度私密告白	Listen to Me Marlon	護		NA
新光影城 1 廳	2015-11-23	15:50	106	桀驁不馴的風格家：莫里斯皮亞拉	難為了爸爸	Le Garçu	輔	▲	NA
新光影城 1 廳	2015-11-23	18:30	162	經典重現	亂	Ran	護		NA
新光影城 1 廳	2015-11-23	22:00	93	性別越界	遠方禁戀	From Afar	輔		NA
新光影城 2 廳	2015-11-23	11:20	124	空間魔法師：彼得格林納威	魔法師的寶典	Prospero	限		NA
新光影城 2 廳	2015-11-23	14:10	158	桀驁不馴的風格家：莫里斯皮亞拉	梵谷傳	Van Gogh	限		NA
新光影城 2 廳	2015-11-23	17:30	110	桀驁不馴的風格家：莫里斯皮亞拉	我們不會白頭到老	We Won't Grow Old Together	輔	▲	NA
新光影城 2 廳	2015-11-23	19:50	119	百年光影：奧森威爾斯	大國民	Citizen Kane	護		NA
新光影城 1 廳	2015-11-24	13:50	104	經典重現	風櫃來的人	The Boys from Fengkuei	護		NA
新光影城 1 廳	2015-11-24	16:10	87	百年光影：奧森威爾斯	上海小姐	The Lady from Shanghai	護		NA
新光影城 1 廳	2015-11-24	18:20	103	桀驁不馴的風格家：莫里斯皮亞拉	惡魔天空下	Under the Sun of Satan	輔	▲	NA
新光影城 2 廳	2015-11-24	13:30	115	空間魔法師：彼得格林納威	一加二的故事	A Zed & Two Noughts	限		NA
新光影城 2 廳	2015-11-24	16:00	108	空間魔法師：彼得格林納威	繪圖師的合約	The Draughtsman	限		NA
新光影城 2 廳	2015-11-24	18:30	114	桀驁不馴的風格家：莫里斯皮亞拉	末路刑警	Police	輔		NA
新光影城 2 廳	2015-11-24	21:00	118	空間魔法師：彼得格林納威	淹死老公	Drowning by Numbers	限		NA
新光影城 1 廳	2015-11-25	14:00	162	經典重現	亂	Ran	護		NA
新光影城 1 廳	2015-11-25	17:20	82	桀驁不馴的風格家：莫里斯皮亞拉	安寧的盡頭	The Mouth Agape	輔	▲	NA
新光影城 1 廳	2015-11-25	19:20	86	桀驁不馴的風格家：莫里斯皮亞拉	畢業優先	Graduate First	輔	▲	NA
新光影城 1 廳	2015-11-25	21:30	89	經典重現	愛比死更冷	Love is Colder Than Death	輔		NA
新光影城 2 廳	2015-11-25	13:10	124	空間魔法師：彼得格林納威	魔法師的寶典	Prospero	限		NA
新光影城 2 廳	2015-11-25	16:00	119	百年光影：奧森威爾斯	大國民	Citizen Kane	護		NA
新光影城 2 廳	2015-11-25	18:40	102	桀驁不馴的風格家：莫里斯皮亞拉	關於我們的愛情	To Our Loves	限		NA
新光影城 2 廳	2015-11-25	21:00	158	桀驁不馴的風格家：莫里斯皮亞拉	梵谷傳	Van Gogh	限		NA
新光影城 1 廳	2015-11-26	11:50	103	桀驁不馴的風格家：莫里斯皮亞拉	惡魔天空下	Under the Sun of Satan	輔	▲	NA
新光影城 1 廳	2015-11-26	14:10	110	桀驁不馴的風格家：莫里斯皮亞拉	路路	Loulou	輔		NA
新光影城 1 廳	2015-11-26	16:40	83	桀驁不馴的風格家：莫里斯皮亞拉	赤裸童年	Naked Childhood	護		NA
新光影城 1 廳	2015-11-26	21:10	94	音樂啟示錄	家庭樂器烘焙坊傻瓜龐克：誰是傻瓜	Home Cooked Music	護		NA
新光影城 2 廳	2015-11-26	12:50	124	空間魔法師：彼得格林納威	廚師、大盜、他的太太和她的情人	The Cook, the Thief, His Wife & Her Lover	限		NA
新光影城 2 廳	2015-11-26	15:30	137	亞洲之窗	巴霍巴利王：創始之初	Baahubali: The Beginning	護		NA
新光影城 2 廳	2015-11-26	18:30	110	桀驁不馴的風格家：莫里斯皮亞拉	我們不會白頭到老	We Won't Grow Old Together	輔	▲	NA
新光影城 2 廳	2015-11-26	21:00	122	空間魔法師：彼得格林納威	魔法聖嬰	The Baby of Mâcon	限		NA
